# PicoScope Waveform
# Sampling Rate (Hz),9708
# X Axis Min,1500.0
# X Axis Max,9500.0
# Y Axis Min,0.0
# Y Axis Max,3.31

Sample,Voltage (V)
0,1.1451282051282052
1,1.1459340659340658
2,1.1467399267399268
3,1.1483516483516483
4,1.1507692307692308
5,1.1507692307692308
6,1.1515750915750915
7,1.1523809523809523
8,1.1531868131868133
9,1.1547985347985348
10,1.1547985347985348
11,1.1556043956043955
12,1.1564102564102565
13,1.1580219780219778
14,1.1580219780219778
15,1.1596336996336996
16,1.1596336996336996
17,1.1588278388278388
18,1.1628571428571428
19,1.1652747252747253
20,1.1660805860805858
21,1.1668864468864468
22,1.1676923076923076
23,1.1693040293040293
24,1.1693040293040293
25,1.17010989010989
26,1.1709157509157508
27,1.1725274725274726
28,1.1733333333333333
29,1.1757509157509156
30,1.1725274725274726
31,1.1781684981684981
32,1.1797802197802196
33,1.1805860805860806
34,1.1821978021978021
35,1.1830036630036629
36,1.1838095238095239
37,1.1821978021978021
38,1.1854212454212454
39,1.187032967032967
40,1.1878388278388279
41,1.1894505494505494
42,1.1902564102564102
43,1.1926739926739927
44,1.191868131868132
45,1.1934798534798534
46,1.1942857142857142
47,1.195897435897436
48,1.1967032967032967
49,1.1983150183150182
50,1.199120879120879
51,1.19992673992674
52,1.2015384615384617
53,1.203150183150183
54,1.2047619047619047
55,1.2015384615384617
56,1.2071794871794872
57,1.2087912087912087
58,1.2087912087912087
59,1.2112087912087912
60,1.2112087912087912
61,1.2136263736263737
62,1.2152380952380952
63,1.216043956043956
64,1.2184615384615383
65,1.2192673992673992
66,1.2216849816849817
67,1.2224908424908423
68,1.2232967032967033
69,1.224102564102564
70,1.2257142857142858
71,1.2265201465201463
72,1.2273260073260073
73,1.228131868131868
74,1.2305494505494503
75,1.2313553113553113
76,1.232967032967033
77,1.2337728937728938
78,1.2353846153846153
79,1.2378021978021976
80,1.232967032967033
81,1.2394139194139193
82,1.2418315018315016
83,1.2426373626373626
84,1.2442490842490843
85,1.2458608058608056
86,1.2474725274725273
87,1.2482783882783883
88,1.2498901098901096
89,1.2506959706959706
90,1.2515018315018314
91,1.2523076923076923
92,1.253113553113553
93,1.2547252747252746
94,1.2555311355311354
95,1.2579487179487179
96,1.2587545787545786
97,1.2603663003663004
98,1.261978021978022
99,1.2635897435897434
100,1.2652014652014651
101,1.2676190476190474
102,1.2692307692307692
103,1.2692307692307692
104,1.2708424908424907
105,1.2676190476190474
106,1.2732600732600732
107,1.274065934065934
108,1.2748717948717947
109,1.2756776556776557
110,1.278095238095238
111,1.278095238095238
112,1.2797069597069597
113,1.2797069597069597
114,1.2813186813186814
115,1.282124542124542
116,1.2829304029304027
117,1.2845421245421245
118,1.2845421245421245
119,1.286153846153846
120,1.2877655677655677
121,1.2885714285714285
122,1.2893772893772895
123,1.29018315018315
124,1.2917948717948717
125,1.2926007326007325
126,1.294212454212454
127,1.294212454212454
128,1.2966300366300365
129,1.2974358974358975
130,1.3014652014652015
131,1.2998534798534798
132,1.3014652014652015
133,1.302271062271062
134,1.303076923076923
135,1.3046886446886445
136,1.306300366300366
137,1.307106227106227
138,1.3087179487179488
139,1.3095238095238095
140,1.31032967032967
141,1.311135531135531
142,1.3119413919413918
143,1.3135531135531135
144,1.315164835164835
145,1.3159706959706958
146,1.3175824175824176
147,1.318388278388278
148,1.3199999999999998
149,1.3216117216117216
150,1.323223443223443
151,1.3248351648351648
152,1.3264468864468864
153,1.3264468864468864
154,1.3272527472527471
155,1.3312820512820511
156,1.3296703296703296
157,1.3312820512820511
158,1.3336996336996336
159,1.3345054945054944
160,1.3353113553113551
161,1.3361172161172161
162,1.3369230769230769
163,1.3385347985347984
164,1.3393406593406592
165,1.340952380952381
166,1.3425641025641024
167,1.3433699633699632
168,1.3441758241758242
169,1.3441758241758242
170,1.344981684981685
171,1.3465934065934064
172,1.3473992673992672
173,1.3482051282051282
174,1.349010989010989
175,1.3514285714285712
176,1.3514285714285712
177,1.353846153846154
178,1.353846153846154
179,1.3554578754578752
180,1.3546520146520145
181,1.357069597069597
182,1.3586813186813185
183,1.3594871794871795
184,1.361098901098901
185,1.3627106227106225
186,1.3643223443223442
187,1.365128205128205
188,1.3667399267399265
189,1.3683516483516482
190,1.3683516483516482
191,1.3691575091575092
192,1.36996336996337
193,1.3723809523809523
194,1.3731868131868132
195,1.3747985347985345
196,1.3764102564102563
197,1.3772161172161173
198,1.3788278388278385
199,1.3796336996336995
200,1.3812454212454213
201,1.3812454212454213
202,1.382051282051282
203,1.3828571428571428
204,1.3844688644688643
205,1.3844688644688643
206,1.386080586080586
207,1.3876923076923076
208,1.3884981684981683
209,1.3893040293040293
210,1.39010989010989
211,1.3917216117216116
212,1.3925274725274723
213,1.3933333333333333
214,1.3949450549450548
215,1.3957509157509156
216,1.3973626373626373
217,1.3989743589743588
218,1.3997802197802196
219,1.3997802197802196
220,1.4005860805860806
221,1.4030036630036629
222,1.4038095238095236
223,1.4046153846153846
224,1.4054212454212454
225,1.4062271062271061
226,1.4078388278388276
227,1.4086446886446886
228,1.4102564102564104
229,1.411062271062271
230,1.411062271062271
231,1.4134798534798534
232,1.4142857142857144
233,1.415091575091575
234,1.4167032967032966
235,1.4167032967032966
236,1.4183150183150184
237,1.419120879120879
238,1.4207326007326007
239,1.4207326007326007
240,1.4215384615384614
241,1.4223443223443224
242,1.423956043956044
243,1.423956043956044
244,1.4255677655677654
245,1.4255677655677654
246,1.427179487179487
247,1.427179487179487
248,1.427179487179487
249,1.4287912087912087
250,1.4295970695970694
251,1.431208791208791
252,1.432014652014652
253,1.4328205128205127
254,1.4336263736263737
255,1.4328205128205127
256,1.435238095238095
257,1.435238095238095
258,1.436043956043956
259,1.4376556776556777
260,1.4384615384615385
261,1.439267399267399
262,1.439267399267399
263,1.4408791208791207
264,1.4408791208791207
265,1.4424908424908425
266,1.443296703296703
267,1.444102564102564
268,1.4449084249084247
269,1.4457142857142857
270,1.4473260073260072
271,1.4473260073260072
272,1.4497435897435897
273,1.4497435897435897
274,1.4513553113553113
275,1.4513553113553113
276,1.452161172161172
277,1.4537728937728938
278,1.4537728937728938
279,1.4553846153846153
280,1.456190476190476
281,1.456996336996337
282,1.4578021978021978
283,1.4586080586080585
284,1.4594139194139193
285,1.46021978021978
286,1.461025641025641
287,1.461025641025641
288,1.4626373626373625
289,1.464249084249084
290,1.465054945054945
291,1.465054945054945
292,1.4658608058608058
293,1.4666666666666666
294,1.4674725274725273
295,1.468278388278388
296,1.469084249084249
297,1.4698901098901098
298,1.4706959706959708
299,1.4715018315018313
300,1.472307692307692
301,1.473113553113553
302,1.4739194139194138
303,1.4755311355311354
304,1.476336996336996
305,1.4779487179487178
306,1.4779487179487178
307,1.4803663003663001
308,1.481172161172161
309,1.4827838827838828
310,1.4835897435897434
311,1.4852014652014651
312,1.4852014652014651
313,1.4860073260073259
314,1.4876190476190474
315,1.4876190476190474
316,1.4892307692307691
317,1.4892307692307691
318,1.4908424908424909
319,1.4916483516483514
320,1.4924542124542124
321,1.4940659340659341
322,1.494871794871795
323,1.4972893772893772
324,1.4972893772893772
325,1.498901098901099
326,1.4997069597069594
327,1.5013186813186812
328,1.5021245421245422
329,1.5037362637362635
330,1.5045421245421244
331,1.5045421245421244
332,1.5061538461538462
333,1.5077655677655677
334,1.5093772893772892
335,1.5101831501831502
336,1.5117948717948717
337,1.5126007326007325
338,1.5134065934065932
339,1.515018315018315
340,1.5166300366300365
341,1.5174358974358972
342,1.5182417582417582
343,1.519047619047619
344,1.5206593406593405
345,1.5206593406593405
346,1.5222710622710622
347,1.523076923076923
348,1.523076923076923
349,1.5246886446886445
350,1.5246886446886445
351,1.5254945054945055
352,1.5254945054945055
353,1.5279120879120878
354,1.527106227106227
355,1.5287179487179485
356,1.5287179487179485
357,1.5295238095238095
358,1.5303296703296703
359,1.531135531135531
360,1.5319413919413918
361,1.5327472527472525
362,1.5343589743589743
363,1.5343589743589743
364,1.5359706959706958
365,1.5367765567765566
366,1.5375824175824175
367,1.5383882783882783
368,1.5391941391941393
369,1.5408058608058606
370,1.5408058608058606
371,1.5424175824175823
372,1.5440293040293038
373,1.5440293040293038
374,1.5448351648351648
375,1.5456410256410256
376,1.5480586080586078
377,1.5488644688644688
378,1.5496703296703296
379,1.5496703296703296
380,1.5512820512820513
381,1.5512820512820513
382,1.5512820512820513
383,1.5528937728937728
384,1.5545054945054944
385,1.5561172161172159
386,1.5577289377289376
387,1.5585347985347986
388,1.5601465201465199
389,1.5609523809523809
390,1.5617582417582416
391,1.5649816849816849
392,1.564175824175824
393,1.564175824175824
394,1.5649816849816849
395,1.5665934065934066
396,1.5665934065934066
397,1.568205128205128
398,1.568205128205128
399,1.569010989010989
400,1.5706227106227106
401,1.5714285714285714
402,1.5722344322344322
403,1.573040293040293
404,1.5738461538461537
405,1.5746520146520147
406,1.5754578754578754
407,1.5762637362637362
408,1.577069597069597
409,1.5786813186813187
410,1.5794871794871794
411,1.581098901098901
412,1.581098901098901
413,1.5827106227106227
414,1.5827106227106227
415,1.5843223443223442
416,1.585128205128205
417,1.585128205128205
418,1.585934065934066
419,1.5867399267399267
420,1.5875457875457875
421,1.5883516483516482
422,1.58996336996337
423,1.5907692307692307
424,1.593186813186813
425,1.593992673992674
426,1.5947985347985347
427,1.5956043956043957
428,1.5964102564102562
429,1.597216117216117
430,1.597216117216117
431,1.598021978021978
432,1.5988278388278387
433,1.5988278388278387
434,1.6004395604395603
435,1.6004395604395603
436,1.601245421245421
437,1.601245421245421
438,1.6028571428571428
439,1.6036630036630037
440,1.6036630036630037
441,1.605274725274725
442,1.606080586080586
443,1.6068864468864468
444,1.6076923076923078
445,1.6093040293040293
446,1.6093040293040293
447,1.61010989010989
448,1.6125274725274723
449,1.6133333333333333
450,1.6133333333333333
451,1.614139194139194
452,1.6157509157509158
453,1.6165567765567763
454,1.6165567765567763
455,1.618168498168498
456,1.618168498168498
457,1.6197802197802198
458,1.6205860805860803
459,1.6213919413919413
460,1.6213919413919413
461,1.622197802197802
462,1.6238095238095238
463,1.6246153846153844
464,1.6254212454212453
465,1.627032967032967
466,1.6278388278388278
467,1.6286446886446884
468,1.6294505494505493
469,1.63025641025641
470,1.63025641025641
471,1.6318681318681318
472,1.6318681318681318
473,1.6326739926739926
474,1.6334798534798534
475,1.6342857142857141
476,1.635091575091575
477,1.6358974358974359
478,1.6358974358974359
479,1.6367032967032966
480,1.6367032967032966
481,1.6375091575091574
482,1.6383150183150181
483,1.6383150183150181
484,1.6383150183150181
485,1.6399267399267399
486,1.6399267399267399
487,1.6407326007326006
488,1.6407326007326006
489,1.6415384615384614
490,1.6423443223443221
491,1.6423443223443221
492,1.6431501831501831
493,1.6439560439560439
494,1.6447619047619046
495,1.6455677655677654
496,1.6455677655677654
497,1.6463736263736264
498,1.6471794871794871
499,1.6504029304029304
500,1.6504029304029304
501,1.6512087912087912
502,1.652014652014652
503,1.6528205128205127
504,1.6528205128205127
505,1.6536263736263734
506,1.6544322344322344
507,1.6568498168498167
508,1.656043956043956
509,1.6576556776556775
510,1.6576556776556775
511,1.6584615384615384
512,1.6576556776556775
513,1.6592673992673992
514,1.6608791208791207
515,1.6608791208791207
516,1.6608791208791207
517,1.6624908424908424
518,1.6624908424908424
519,1.6632967032967032
520,1.6641025641025642
521,1.6649084249084247
522,1.6665201465201465
523,1.6673260073260072
524,1.6689377289377287
525,1.6681318681318682
526,1.6697435897435897
527,1.6705494505494505
528,1.6705494505494505
529,1.6713553113553112
530,1.6721611721611722
531,1.6729670329670328
532,1.6729670329670328
533,1.6737728937728937
534,1.6737728937728937
535,1.6753846153846153
536,1.6761904761904762
537,1.6761904761904762
538,1.6778021978021977
539,1.6778021978021977
540,1.6786080586080585
541,1.6802197802197802
542,1.6802197802197802
543,1.6794139194139193
544,1.6818315018315018
545,1.6826373626373625
546,1.6826373626373625
547,1.6834432234432235
548,1.6834432234432235
549,1.6850549450549448
550,1.6850549450549448
551,1.6850549450549448
552,1.6858608058608058
553,1.6874725274725275
554,1.6882783882783883
555,1.6890842490842488
556,1.6906959706959706
557,1.6915018315018315
558,1.6923076923076923
559,1.6923076923076923
560,1.6931135531135528
561,1.6947252747252746
562,1.6947252747252746
563,1.6955311355311355
564,1.6963369963369963
565,1.6979487179487178
566,1.6995604395604396
567,1.6987545787545786
568,1.6995604395604396
569,1.7003663003663003
570,1.7003663003663003
571,1.7019780219780218
572,1.7019780219780218
573,1.7027838827838826
574,1.7035897435897436
575,1.7043956043956043
576,1.7043956043956043
577,1.705201465201465
578,1.7060073260073259
579,1.7068131868131868
580,1.7084249084249084
581,1.709230769230769
582,1.7100366300366299
583,1.7108424908424908
584,1.7116483516483516
585,1.7132600732600731
586,1.7132600732600731
587,1.7140659340659339
588,1.7148717948717949
589,1.7156776556776556
590,1.7156776556776556
591,1.7164835164835164
592,1.7172893772893771
593,1.718095238095238
594,1.7189010989010989
595,1.7197069597069596
596,1.7213186813186812
597,1.7213186813186812
598,1.722124542124542
599,1.7237362637362637
600,1.7245421245421246
601,1.7245421245421246
